"TIV of arms exports from Italy, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,45,,,,,,,54
Rwanda,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Saudi Arabia,,,,,,,9,,,,5,50,38,76,44,15,,,,,,,,,,,,,,,,,83,,6,,,15,15,15,,,1,,,89,89,48,,,,597
Senegal,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Seychelles,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Singapore,,4,,,,,,,,1,,,1,,4,20,20,16,,,21,21,,,6,6,16,18,64,,,,,,,,,10,18,13,,40,66,51,26,,,8,6,8,,464
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,16,16,,,34
Somalia,,,,,,,,,22,40,24,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,109
South Africa,21,52,54,58,69,35,39,51,28,32,18,13,20,16,10,,2,,,,,,,,,,,,,,,,,,,11,25,17,17,14,,,,,,,,,,,,602
South Korea,,,,,,,,5,5,5,5,10,12,17,5,34,24,2,22,114,53,,,45,,,,3,5,5,5,,,,,,,,,,,,,,,,,,,,,373
Spain,,,,4,34,,,30,18,54,56,43,3,3,,,3,59,70,70,15,9,9,21,48,6,24,1,21,21,7,32,14,3,21,61,50,54,38,,8,4,3,,,,,,,,,915
Sri Lanka,,,,,,,,,,,,,,,,3,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Sudan,,,,,,,,,,,,,11,11,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Sweden,29,33,,15,5,5,5,,,,,,,,,,,,10,10,,1,,5,20,,,,,,,,,,,,11,22,17,6,,,,,,,,,,,,192
Taiwan,,,,,,,,,6,,,,6,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,23
Tanzania,,,,0,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,32
Thailand,,,,1,1,,5,,,94,47,,1,112,55,,12,24,29,12,,,11,,,73,,,,95,,,5,,,13,13,,,,,,3,9,6,23,46,16,38,3,,746
Tunisia,,0,,,,3,,31,2,13,48,1,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
Turkey,13,22,28,42,22,22,8,22,3,3,3,,,,51,50,3,60,70,14,1,1,4,4,10,23,37,36,10,5,10,15,15,15,,35,30,,30,5,5,13,168,35,69,32,139,89,151,141,37,1601
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,5,5,10,19,5,,,,73
UAE,,,,,0,,17,5,5,5,10,40,24,15,30,22,2,26,11,15,8,14,10,5,5,15,,,,,,,,,,,6,36,,,,3,3,316,20,77,8,3,13,13,,781
Uganda,,,,13,,,,,,,,,,,,10,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
United Kingdom,,,,5,9,9,9,5,,,,,,,8,,,2,,,,,,,,,,,200,,,,,,,,,20,33,8,,,,,,,,,,,,306
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
United States,,,,,,,,5,,3,13,25,25,30,28,180,10,13,10,10,12,69,64,54,54,109,163,163,54,54,8,14,,,6,,,,16,16,80,80,80,16,48,,,,,6,,1514
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,0,,,7
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,2,5
Venezuela,,,,18,15,42,,,,5,324,815,584,72,42,85,10,10,20,3,5,26,6,8,,,,,,,11,1,1,,,,,,,3,3,10,3,,,,,,,,3,2120
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,,,,,,,,,,,70
Zambia,4,19,20,16,,,14,1,1,,7,20,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,3,,,,3,,,32,,143
Zimbabwe,,,,,,,,,,,,,,10,,,50,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,280,395,296,330,421,512,523,502,680,1308,1167,1708,1679,1180,1256,920,228,618,387,335,206,351,247,340,208,297,291,454,425,503,205,269,479,365,262,830,544,729,432,509,538,963,741,861,672,676,618,791,535,321,806,30196
